Engine Size(L),Cylinders,Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),Vehicle Class,Fuel Type
3.5,6,10.2,28,235,MID-SIZE,Z
3.5,6,10.4,27,239,SUBCOMPACT,Z
3.5,6,10.5,27,242,STATION WAGON - MID-SIZE,Z
3.5,6,10.2,28,235,SUBCOMPACT,Z
3.5,6,8.8,32,202,MID-SIZE,Z
4.7,8,11.6,24,267,MID-SIZE,Z
4.7,8,11.7,24,269,SUBCOMPACT,Z
4.7,8,11.4,25,262,SUBCOMPACT,Z
5.5,8,12.9,22,297,MID-SIZE,Z
5.5,8,13.5,21,310,STATION WAGON - MID-SIZE,Z
5.5,8,18.2,16,419,SUV - STANDARD,Z
5.5,8,17.7,16,407,SUV - STANDARD,Z
3.0,6,12.0,24,324,SUV - STANDARD,D
4.7,8,15.2,19,350,SUV - STANDARD,Z
4.7,8,15.6,18,359,SUV - STANDARD,Z
5.5,8,15.8,18,363,SUV - STANDARD,Z
2.1,4,8.5,33,230,SUV - SMALL,D
3.5,6,11.3,25,260,SUV - SMALL,Z
3.5,6,12.1,23,278,SUV - STANDARD,Z
3.5,6,16.0,18,256,SUV - STANDARD,E
3.0,6,10.3,27,278,SUV - STANDARD,D
4.7,8,14.2,20,327,SUV - STANDARD,Z
5.5,8,15.5,18,356,SUV - STANDARD,Z
4.7,8,12.1,23,278,FULL-SIZE,Z
4.7,8,12.0,24,276,FULL-SIZE,Z
5.5,8,13.2,21,304,FULL-SIZE,Z
4.7,8,11.7,24,269,TWO-SEATER,Z
5.5,8,12.7,22,292,TWO-SEATER,Z
6.0,8,14.2,20,327,TWO-SEATER,Z
1.8,4,8.9,32,205,TWO-SEATER,Z
1.8,4,9.0,31,207,TWO-SEATER,Z
3.5,6,9.8,29,225,TWO-SEATER,Z
5.5,8,10.7,26,246,TWO-SEATER,Z
6.2,8,16.5,17,380,TWO-SEATER,Z
6.2,8,15.7,18,361,TWO-SEATER,Z
1.6,4,7.8,36,179,SUBCOMPACT,Z
1.6,4,7.8,36,179,MINICOMPACT,Z
1.6,4,8.7,32,200,COMPACT,Z
1.6,4,7.8,36,179,COMPACT,Z
1.6,4,7.6,37,175,TWO-SEATER,Z
1.6,4,7.3,39,168,TWO-SEATER,Z
1.6,4,7.8,36,179,TWO-SEATER,Z
1.6,4,8.3,34,191,SUBCOMPACT,Z
1.6,4,8.0,35,184,SUBCOMPACT,Z
1.6,4,8.3,34,191,MINICOMPACT,Z
1.6,4,8.0,35,184,MINICOMPACT,Z
1.6,4,9.0,31,207,COMPACT,Z
1.6,4,8.5,33,196,COMPACT,Z
1.6,4,8.3,34,191,TWO-SEATER,Z
1.6,4,8.0,35,184,TWO-SEATER,Z
2.0,4,8.2,34,189,COMPACT,X
2.0,4,8.3,34,191,COMPACT,X
2.0,4,12.5,23,288,COMPACT,Z
2.0,4,12.3,23,283,COMPACT,Z
2.0,4,11.6,24,267,COMPACT,Z
2.0,4,8.6,33,198,STATION WAGON - SMALL,X
1.2,3,6.0,47,138,COMPACT,X
1.2,3,6.4,44,147,COMPACT,X
2.4,4,8.6,33,198,SUV - SMALL,X
3.0,6,10.2,28,235,SUV - SMALL,Z
2.0,4,8.7,32,200,SUV - SMALL,X
2.0,4,8.8,32,202,SUV - SMALL,X
2.0,4,9.0,31,207,SUV - SMALL,X
3.7,6,11.0,26,253,TWO-SEATER,Z
3.7,6,11.5,25,264,TWO-SEATER,Z
3.7,6,11.4,25,262,TWO-SEATER,Z
3.7,6,11.7,24,269,TWO-SEATER,Z
3.5,6,9.3,30,214,MID-SIZE,X
5.6,8,16.5,17,380,SUV - STANDARD,X
2.5,4,12.3,23,283,PICKUP TRUCK - SMALL,X
2.5,4,11.3,25,260,PICKUP TRUCK - SMALL,X
4.0,6,12.7,22,292,PICKUP TRUCK - SMALL,X
4.0,6,13.7,21,315,PICKUP TRUCK - SMALL,X
4.0,6,13.1,22,301,PICKUP TRUCK - SMALL,X
3.8,6,12.9,22,297,SUBCOMPACT,Z
1.6,4,8.1,35,186,STATION WAGON - SMALL,Z
1.6,4,8.6,33,198,STATION WAGON - SMALL,Z
1.6,4,8.7,32,200,STATION WAGON - SMALL,Z
3.5,6,10.9,26,251,MID-SIZE,Z
3.5,6,11.8,24,271,SUV - SMALL,X
2.0,4,9.3,30,214,SPECIAL PURPOSE VEHICLE,X
3.5,6,10.6,27,244,SUV - SMALL,X
3.5,6,11.0,26,253,SUV - SMALL,X
2.5,4,8.8,32,202,SUV - STANDARD,X
3.5,6,11.1,25,255,MINIVAN,X
2.5,4,8.3,34,191,SUV - SMALL,X
1.8,4,7.0,40,161,MID-SIZE,X
1.8,4,7.8,36,179,MID-SIZE,X
5.6,8,15.6,18,359,PICKUP TRUCK - STANDARD,X
5.6,8,17.3,16,398,PICKUP TRUCK - STANDARD,X
1.6,4,6.6,43,152,COMPACT,X
4.0,6,14.2,20,327,SUV - SMALL,X
4.0,6,13.7,21,315,SUV - SMALL,X
3.4,6,10.1,28,232,MINICOMPACT,Z
3.4,6,10.7,26,246,MINICOMPACT,Z
3.4,6,10.3,27,237,MINICOMPACT,Z
3.4,6,10.5,27,242,MINICOMPACT,Z
3.4,6,11.0,26,253,MINICOMPACT,Z
3.8,6,10.8,26,248,MINICOMPACT,Z
3.8,6,11.0,26,253,MINICOMPACT,Z
3.8,6,11.2,25,258,MINICOMPACT,Z
3.8,6,10.6,27,244,MINICOMPACT,Z
3.8,6,10.7,26,246,MINICOMPACT,Z
3.8,6,10.9,26,251,MINICOMPACT,Z
3.8,6,14.0,20,322,TWO-SEATER,Z
3.8,6,11.9,24,274,MINICOMPACT,Z
2.7,6,9.2,31,212,TWO-SEATER,Z
2.7,6,9.9,29,228,TWO-SEATER,Z
3.4,6,9.8,29,225,TWO-SEATER,Z
3.4,6,10.4,27,239,TWO-SEATER,Z
3.6,6,12.4,23,290,SUV - STANDARD,Z
3.6,6,13.6,21,313,SUV - STANDARD,Z
3.0,6,10.2,28,277,SUV - STANDARD,D
4.8,8,14.4,20,338,SUV - STANDARD,Z
4.8,8,13.2,21,310,SUV - STANDARD,Z
3.0,6,10.9,26,251,SUV - STANDARD,Z
4.8,8,13.9,20,326,SUV - STANDARD,Z
4.8,8,15.2,19,358,SUV - STANDARD,Z
3.6,6,10.9,26,251,FULL-SIZE,Z
3.6,6,11.1,25,255,FULL-SIZE,Z
3.0,6,11.3,25,260,FULL-SIZE,Z
3.0,6,11.5,25,264,FULL-SIZE,Z
4.8,8,12.7,22,292,FULL-SIZE,Z
4.8,8,12.8,22,294,FULL-SIZE,Z
4.8,8,12.9,22,297,FULL-SIZE,Z
5.7,8,14.8,19,340,PICKUP TRUCK - STANDARD,X
5.7,8,13.6,21,313,PICKUP TRUCK - STANDARD,X
5.7,8,15.4,18,354,PICKUP TRUCK - STANDARD,X
5.7,8,14.1,20,324,PICKUP TRUCK - STANDARD,X
3.0,6,10.6,27,286,PICKUP TRUCK - STANDARD,D
3.6,6,12.6,22,290,PICKUP TRUCK - STANDARD,X
3.6,6,17.8,16,285,PICKUP TRUCK - STANDARD,E
3.0,6,10.2,28,275,PICKUP TRUCK - STANDARD,D
3.6,6,11.9,24,274,PICKUP TRUCK - STANDARD,X
3.6,6,16.8,17,269,PICKUP TRUCK - STANDARD,E
3.6,6,11.3,25,260,PICKUP TRUCK - STANDARD,X
3.6,6,11.4,25,262,MINIVAN,X
3.6,6,15.9,18,254,MINIVAN,E
6.6,12,16.0,18,368,FULL-SIZE,Z
6.7,12,17.1,17,393,FULL-SIZE,Z
6.7,12,17.1,17,393,COMPACT,Z
6.6,12,15.6,18,359,MID-SIZE,Z
2.0,4,8.4,34,193,MINICOMPACT,Z
2.0,4,9.5,30,218,MINICOMPACT,Z
1.3,4,6.2,46,143,MINICOMPACT,X
2.4,4,9.9,29,228,STATION WAGON - SMALL,X
1.8,4,8.0,35,184,SUBCOMPACT,X
1.8,4,7.9,36,182,SUBCOMPACT,X
1.0,3,6.4,44,147,TWO-SEATER,Z
8.4,10,16.9,17,389,TWO-SEATER,Z
2.0,4,8.5,33,196,MINICOMPACT,Z
2.0,4,9.6,29,221,MINICOMPACT,Z
2.0,4,9.5,30,218,SUV - SMALL,Z
2.5,4,9.7,29,223,SUV - SMALL,X
2.0,4,8.5,33,196,COMPACT,X
2.5,4,11.2,25,258,COMPACT,Z
2.5,4,12.5,23,288,COMPACT,Z
2.0,4,7.8,36,179,STATION WAGON - SMALL,X
2.0,4,8.5,33,196,STATION WAGON - SMALL,X
2.5,4,11.2,25,258,STATION WAGON - SMALL,Z
2.5,4,12.5,23,288,STATION WAGON - SMALL,Z
2.5,4,8.6,33,198,MID-SIZE,X
2.5,4,9.9,29,228,MID-SIZE,X
3.6,6,11.6,24,267,MID-SIZE,X
2.5,4,9.0,31,207,SUV - SMALL,X
2.5,4,9.8,29,225,SUV - SMALL,X
3.6,6,11.7,24,269,SUV - SMALL,X
3.6,6,13.1,22,301,SUV - SMALL,X
2.0,4,9.2,31,212,SUV - SMALL,X
2.0,4,7.7,37,177,SUV - SMALL,X
4.0,6,12.9,22,297,SUV - STANDARD,X
2.5,4,8.2,34,189,MID-SIZE,X
2.5,4,5.7,50,131,MID-SIZE,X
1.8,4,7.7,37,177,MID-SIZE,X
1.8,4,7.3,39,168,MID-SIZE,X
1.8,4,7.1,40,163,MID-SIZE,X
1.8,4,7.4,38,170,MID-SIZE,X
1.8,4,6.8,42,156,MID-SIZE,X
1.8,4,6.9,41,159,MID-SIZE,X
1.8,4,8.5,33,196,STATION WAGON - SMALL,X
1.8,4,8.2,34,189,STATION WAGON - SMALL,X
4.0,6,12.9,22,297,SUV - SMALL,X
4.0,6,13.9,20,320,SUV - SMALL,X
2.7,4,10.3,27,237,SUV - SMALL,X
3.5,6,11.2,25,258,SUV - SMALL,X
3.5,6,8.3,34,191,SUV - STANDARD,X
3.5,6,8.2,34,189,SUV - STANDARD,X
1.8,4,4.8,59,110,MID-SIZE,X
1.5,4,4.7,60,108,COMPACT,X
1.8,4,5.5,51,126,STATION WAGON - MID-SIZE,X
2.5,4,9.5,30,218,SUV - SMALL,X
5.7,8,16.7,17,384,SUV - STANDARD,X
3.5,6,11.3,25,260,MINIVAN,X
3.5,6,12.4,23,285,MINIVAN,X
2.7,4,10.9,26,251,PICKUP TRUCK - SMALL,X
2.7,4,10.2,28,235,PICKUP TRUCK - SMALL,X
2.7,4,11.9,24,274,PICKUP TRUCK - SMALL,X
2.7,4,11.8,24,271,PICKUP TRUCK - SMALL,X
4.0,6,13.3,21,306,PICKUP TRUCK - SMALL,X
4.0,6,14.0,20,322,PICKUP TRUCK - SMALL,X
4.0,6,13.5,21,310,PICKUP TRUCK - STANDARD,X
4.6,8,14.3,20,329,PICKUP TRUCK - STANDARD,X
5.7,8,15.5,18,356,PICKUP TRUCK - STANDARD,X
4.6,8,15.1,19,347,PICKUP TRUCK - STANDARD,X
5.7,8,16.2,17,373,PICKUP TRUCK - STANDARD,X
2.7,4,10.0,28,230,SUV - SMALL,X
2.7,4,10.2,28,235,SUV - SMALL,X
3.5,6,11.3,25,260,SUV - SMALL,X
1.5,4,7.3,39,168,COMPACT,X
1.5,4,7.1,40,163,COMPACT,X
1.8,4,8.5,33,196,COMPACT,X
1.8,4,8.7,32,200,COMPACT,X
2.0,4,9.4,30,216,COMPACT,Z
2.5,5,9.8,29,225,COMPACT,X
2.5,5,9.6,29,221,COMPACT,X
2.0,4,7.4,38,200,COMPACT,D
2.0,4,7.7,37,208,COMPACT,D
1.8,4,8.7,32,200,SUBCOMPACT,X
2.0,4,9.4,30,216,SUBCOMPACT,Z
2.5,5,10.1,28,232,SUBCOMPACT,X
2.0,4,9.7,29,223,COMPACT,Z
3.6,6,12.3,23,283,COMPACT,Z
2.0,4,9.6,29,221,SUBCOMPACT,Z
2.5,5,9.5,30,218,STATION WAGON - SMALL,X
2.5,5,9.4,30,216,STATION WAGON - SMALL,X
2.0,4,7.4,38,198,STATION WAGON - SMALL,D
2.0,4,7.3,39,196,STATION WAGON - SMALL,D
1.8,4,8.2,34,189,COMPACT,X
2.0,4,9.4,30,216,COMPACT,X
2.0,4,9.0,31,207,COMPACT,X
2.0,4,7.4,38,198,COMPACT,D
2.0,4,7.3,39,196,COMPACT,D
2.0,4,9.0,31,207,COMPACT,Z
1.4,4,5.4,52,124,COMPACT,Z
1.8,4,8.6,33,198,MID-SIZE,X
2.5,5,9.7,29,223,MID-SIZE,X
2.5,5,9.8,29,225,MID-SIZE,X
3.6,6,10.8,26,248,MID-SIZE,Z
2.0,4,6.9,41,180,MID-SIZE,D
3.6,6,12.1,23,278,MINIVAN,X
2.0,4,10.7,26,246,SUV - SMALL,Z
2.0,4,11.6,24,267,SUV - SMALL,Z
3.6,6,12.6,22,296,SUV - STANDARD,Z
2.5,5,9.7,29,223,COMPACT,X
2.5,5,10.1,28,232,COMPACT,X
3.0,6,11.5,25,264,COMPACT,X
3.2,6,10.2,28,235,MID-SIZE,X
3.0,6,11.5,25,264,MID-SIZE,X
3.2,6,11.2,25,258,SUV - SMALL,X
3.0,6,11.8,24,271,SUV - SMALL,X
3.2,6,11.5,25,264,SUV - SMALL,X
3.2,6,11.3,25,260,SUV - SMALL,X
3.2,6,12.8,22,294,SUV - STANDARD,X
2.0,4,8.3,34,191,COMPACT,Z
2.4,4,9.3,30,214,COMPACT,Z
1.5,4,6.1,46,140,COMPACT,Z
3.5,6,7.7,37,177,MID-SIZE,Z
2.4,4,8.3,34,191,COMPACT,Z
3.5,6,9.2,31,212,COMPACT,Z
3.5,6,9.6,29,221,COMPACT,Z
6.0,12,14.2,20,327,SUBCOMPACT,Z
4.7,8,15.5,18,356,TWO-SEATER,Z
6.0,12,16.5,17,379,TWO-SEATER,Z
6.0,12,14.8,19,340,MINICOMPACT,Z
1.8,4,8.7,32,200,SUBCOMPACT,Z
2.0,4,6.5,43,177,SUBCOMPACT,D
2.0,4,8.6,33,198,SUBCOMPACT,Z
2.0,4,8.9,32,205,SUBCOMPACT,Z
2.0,4,8.9,32,205,COMPACT,Z
2.0,4,9.9,28,228,STATION WAGON - SMALL,Z
2.0,4,9.8,29,225,SUBCOMPACT,Z
2.0,4,10.3,27,237,MID-SIZE,Z
3.0,6,11.0,26,253,MID-SIZE,Z
3.0,6,10.5,27,242,MID-SIZE,Z
4.0,8,10.7,26,246,MID-SIZE,Z
3.0,6,10.5,27,242,FULL-SIZE,Z
4.0,8,11.0,26,258,FULL-SIZE,Z
6.3,12,14.6,19,344,FULL-SIZE,Z
2.0,4,10.3,27,237,COMPACT,Z
3.0,6,11.4,25,262,SUV - SMALL,Z
2.0,4,8.9,32,205,SUV - SMALL,Z
3.0,6,13.3,21,306,SUV - STANDARD,Z
4.2,8,14.2,20,327,TWO-SEATER,Z
4.2,8,16.6,17,382,TWO-SEATER,Z
5.2,10,16.4,17,377,TWO-SEATER,Z
4.2,8,12.8,22,294,SUBCOMPACT,Z
4.2,8,12.9,22,297,SUBCOMPACT,Z
4.0,8,13.3,21,313,MID-SIZE,Z
2.0,4,9.0,31,207,SUBCOMPACT,Z
3.0,6,11.0,26,253,COMPACT,Z
3.0,6,11.7,24,269,COMPACT,Z
3.0,6,11.0,26,253,SUBCOMPACT,Z
3.0,6,11.7,24,269,SUBCOMPACT,Z
4.0,8,11.7,24,269,MID-SIZE,Z
4.0,8,11.9,24,281,MID-SIZE,Z
3.0,6,12.2,23,281,SUV - SMALL,Z
2.0,4,9.2,31,212,TWO-SEATER,Z
2.0,4,10.2,28,235,SUBCOMPACT,Z
4.0,8,13.1,22,307,COMPACT,Z
6.0,12,15.4,18,354,COMPACT,Z
4.0,8,14.4,20,337,SUBCOMPACT,Z
6.0,12,16.0,18,368,SUBCOMPACT,Z
4.0,8,14.2,20,327,TWO-SEATER,Z
4.0,8,14.2,20,334,MID-SIZE,Z
6.8,8,18.2,16,419,MID-SIZE,Z
2.0,4,8.4,34,193,SUBCOMPACT,Z
2.0,4,8.7,32,200,SUBCOMPACT,Z
3.0,6,9.8,29,225,COMPACT,Z
3.0,6,10.0,28,230,FULL-SIZE,Z
3.0,6,9.9,29,228,SUBCOMPACT,Z
3.0,6,10.3,27,237,SUBCOMPACT,Z
2.0,4,8.9,32,205,MID-SIZE,Z
3.0,6,10.3,27,237,MID-SIZE,Z
3.0,6,11.0,26,253,FULL-SIZE,Z
4.4,8,12.3,23,283,MID-SIZE,Z
4.4,8,12.8,22,294,FULL-SIZE,Z
4.4,8,12.8,22,294,SUBCOMPACT,Z
4.4,8,12.3,23,283,COMPACT,Z
4.4,8,12.8,22,294,COMPACT,Z
3.0,6,8.8,32,238,FULL-SIZE,D
3.0,6,10.3,27,237,FULL-SIZE,Z
3.0,6,8.7,32,200,COMPACT,Z
3.0,6,9.4,30,216,MID-SIZE,Z
3.0,6,9.3,30,214,FULL-SIZE,Z
3.0,6,10.2,28,235,SUBCOMPACT,Z
3.0,6,10.8,26,248,SUBCOMPACT,Z
3.0,6,10.4,27,239,SUBCOMPACT,Z
3.0,6,10.0,28,230,SUBCOMPACT,Z
3.0,6,12.1,23,278,COMPACT,Z
3.0,6,11.6,24,267,COMPACT,Z
3.0,6,12.1,23,278,SUBCOMPACT,Z
3.0,6,11.8,24,271,SUBCOMPACT,Z
4.4,8,13.7,21,315,MID-SIZE,Z
4.4,8,13.7,21,315,SUBCOMPACT,Z
4.4,8,13.7,21,315,COMPACT,Z
2.0,4,7.9,36,213,SUV - SMALL,D
2.0,4,9.9,29,228,SUV - SMALL,Z
3.0,6,10.9,26,251,SUV - SMALL,Z
2.0,4,10.2,28,235,SUV - SMALL,Z
4.4,8,14.6,19,336,SUV - STANDARD,Z
3.0,6,8.7,32,235,SUV - STANDARD,D
4.4,8,13.8,20,317,SUV - STANDARD,Z
2.0,4,9.0,31,207,TWO-SEATER,Z
3.6,6,15.8,18,253,MID-SIZE,E
3.6,6,11.7,24,269,MID-SIZE,X
3.6,6,15.9,18,254,MID-SIZE,E
2.4,4,9.4,30,216,COMPACT,X
2.5,4,9.3,30,214,COMPACT,X
3.6,6,10.8,26,248,COMPACT,X
3.6,6,11.0,26,253,COMPACT,X
3.6,6,10.7,26,246,MID-SIZE,X
2.0,4,10.6,27,244,MID-SIZE,Z
3.6,6,11.0,26,253,MID-SIZE,X
3.6,6,12.7,22,292,MID-SIZE,Z
6.2,8,14.0,20,322,SUV - STANDARD,Z
6.2,8,13.8,20,317,SUV - STANDARD,Z
6.2,8,14.5,19,334,SUV - STANDARD,Z
6.2,8,14.3,20,329,SUV - STANDARD,Z
3.6,6,11.3,25,260,FULL-SIZE,X
3.6,6,11.6,24,267,FULL-SIZE,X
3.6,6,11.5,25,265,COMPACT,X
6.2,8,15.5,18,357,COMPACT,Z
6.2,8,16.8,17,386,COMPACT,Z
6.2,8,14.7,19,338,COMPACT,Z
2.0,4,9.4,30,216,SPECIAL PURPOSE VEHICLE,X
2.5,4,10.5,27,242,PICKUP TRUCK - SMALL,X
2.5,4,10.8,26,248,PICKUP TRUCK - SMALL,X
3.6,6,11.3,25,260,PICKUP TRUCK - SMALL,X
3.6,6,11.8,24,271,PICKUP TRUCK - SMALL,X
6.2,8,11.7,24,269,TWO-SEATER,Z
6.2,8,14.3,20,329,TWO-SEATER,Z
6.2,8,13.4,21,308,TWO-SEATER,Z
1.8,4,8.1,35,186,MID-SIZE,X
2.4,4,13.4,21,214,SUV - SMALL,E
3.6,6,12.1,23,278,SUV - SMALL,X
2.4,4,14.2,20,227,SUV - SMALL,E
6.0,8,25.9,11,414,VAN - PASSENGER,E
4.8,8,18.1,16,416,VAN - PASSENGER,X
6.0,8,19.0,15,437,VAN - PASSENGER,X
6.0,8,26.1,11,418,VAN - PASSENGER,E
2.5,4,9.2,31,212,FULL-SIZE,X
3.6,6,14.5,19,232,FULL-SIZE,E
4.3,6,11.9,24,274,PICKUP TRUCK - STANDARD,X
4.3,6,17.1,17,274,PICKUP TRUCK - STANDARD,E
5.3,8,17.2,16,275,PICKUP TRUCK - STANDARD,E
6.2,8,14.0,20,322,PICKUP TRUCK - STANDARD,Z
4.3,6,12.5,23,288,PICKUP TRUCK - STANDARD,X
4.3,6,18.0,16,288,PICKUP TRUCK - STANDARD,E
5.3,8,17.5,16,280,PICKUP TRUCK - STANDARD,E
6.2,8,14.2,20,327,PICKUP TRUCK - STANDARD,Z
1.8,4,8.0,35,184,COMPACT,X
1.4,4,7.5,38,173,MID-SIZE,X
1.2,4,7.0,40,161,SUBCOMPACT,X
1.2,4,6.8,42,156,SUBCOMPACT,X
5.3,8,12.7,22,292,SUV - STANDARD,X
5.3,8,17.2,16,275,SUV - STANDARD,E
5.3,8,13.3,21,306,SUV - STANDARD,X
5.3,8,19.1,15,306,SUV - STANDARD,E
5.3,8,13.0,22,299,SUV - STANDARD,X
5.3,8,17.6,16,282,SUV - STANDARD,E
1.4,4,8.2,34,189,SUV - SMALL,X
1.4,4,8.7,32,200,SUV - SMALL,X
2.4,4,8.5,33,196,MID-SIZE,X
2.4,4,11.3,25,181,MID-SIZE,E
3.6,6,10.2,28,235,MID-SIZE,X
3.6,6,13.6,21,218,MID-SIZE,E
3.6,6,14.1,20,226,MID-SIZE,E
5.7,8,12.3,23,283,FULL-SIZE,X
3.6,6,10.3,27,237,MID-SIZE,X
5.7,8,12.3,23,283,MID-SIZE,X
6.4,8,12.9,22,297,MID-SIZE,Z
6.2,8,14.7,19,338,MID-SIZE,Z
6.2,8,15.1,19,347,MID-SIZE,Z
3.6,6,11.5,25,264,FULL-SIZE,X
3.6,6,15.9,18,254,FULL-SIZE,E
5.7,8,12.9,22,297,FULL-SIZE,X
6.4,8,12.9,22,297,FULL-SIZE,Z
6.2,8,14.7,19,338,FULL-SIZE,Z
2.0,4,11.5,25,184,MID-SIZE,E
5.7,8,14.7,19,338,SUV - STANDARD,X
3.6,6,16.4,17,262,MINIVAN,E
8.4,10,15.8,18,363,TWO-SEATER,Z
1.4,4,8.6,33,198,MINICOMPACT,X
1.4,4,9.4,30,216,STATION WAGON - SMALL,X
1.4,4,8.3,34,191,STATION WAGON - SMALL,X
2.0,4,10.3,27,237,SUV - SMALL,X
2.7,6,11.9,24,274,SUV - SMALL,X
1.6,4,9.0,31,207,SUV - SMALL,X
1.6,4,9.4,30,216,SUV - SMALL,X
3.5,6,14.2,20,327,SUV - STANDARD,X
3.5,6,14.4,20,331,SUV - STANDARD,X
2.0,4,10.4,27,239,SUV - STANDARD,X
3.5,6,16.1,18,258,SUV - STANDARD,E
3.5,6,16.9,17,270,SUV - STANDARD,E
2.7,6,10.8,26,248,PICKUP TRUCK - STANDARD,X
3.5,6,12.0,24,276,PICKUP TRUCK - STANDARD,X
3.5,6,11.5,25,264,PICKUP TRUCK - STANDARD,X
3.5,6,15.7,18,251,PICKUP TRUCK - STANDARD,E
5.0,8,13.3,21,306,PICKUP TRUCK - STANDARD,X
5.0,8,17.9,16,286,PICKUP TRUCK - STANDARD,E
2.7,6,12.0,24,276,PICKUP TRUCK - STANDARD,X
3.5,6,12.5,23,288,PICKUP TRUCK - STANDARD,X
3.5,6,12.4,23,285,PICKUP TRUCK - STANDARD,X
3.5,6,16.8,17,269,PICKUP TRUCK - STANDARD,E
5.0,8,13.9,20,320,PICKUP TRUCK - STANDARD,X
5.0,8,18.7,15,299,PICKUP TRUCK - STANDARD,E
1.0,3,6.6,43,152,SUBCOMPACT,X
1.6,4,7.4,38,170,SUBCOMPACT,X
1.6,4,8.0,35,184,SUBCOMPACT,X
3.5,6,11.6,24,267,SUV - STANDARD,X
1.0,3,7.1,40,163,COMPACT,X
2.0,4,10.4,27,166,COMPACT,E
2.0,4,8.1,35,186,COMPACT,X
2.0,4,10.9,26,174,COMPACT,E
1.5,4,8.4,34,193,MID-SIZE,X
1.5,4,8.0,35,184,MID-SIZE,X
2.0,4,8.9,32,205,MID-SIZE,X
2.0,4,9.3,30,214,MID-SIZE,X
2.3,4,9.4,30,216,SUBCOMPACT,X
2.3,4,9.2,31,212,SUBCOMPACT,X
3.7,6,10.7,26,246,SUBCOMPACT,X
3.7,6,11.2,25,258,SUBCOMPACT,X
5.0,8,12.4,23,285,SUBCOMPACT,X
5.0,8,12.5,23,288,SUBCOMPACT,X
2.3,4,9.9,29,228,SUBCOMPACT,X
5.0,8,13.0,22,299,SUBCOMPACT,X
3.5,6,14.7,19,338,VAN - PASSENGER,X
3.7,6,14.8,19,340,VAN - PASSENGER,X
3.7,6,19.7,14,315,VAN - PASSENGER,E
3.5,6,11.9,24,274,FULL-SIZE,X
3.5,6,10.4,27,239,FULL-SIZE,X
3.5,6,14.7,19,235,FULL-SIZE,E
3.5,6,11.3,25,260,FULL-SIZE,X
3.5,6,16.0,18,256,FULL-SIZE,E
1.6,4,9.4,30,216,SPECIAL PURPOSE VEHICLE,X
2.5,4,10.2,28,235,SPECIAL PURPOSE VEHICLE,X
2.4,4,7.8,36,179,MID-SIZE,X
2.4,4,8.0,35,184,MID-SIZE,X
3.5,6,9.5,30,219,MID-SIZE,X
2.0,4,5.0,56,115,MID-SIZE,X
1.8,4,7.1,40,163,COMPACT,X
1.8,4,7.7,37,177,COMPACT,X
2.4,4,9.4,30,216,COMPACT,Z
1.5,4,5.2,54,120,COMPACT,X
2.4,4,7.8,36,179,SUV - SMALL,X
2.4,4,8.3,34,191,SUV - SMALL,X
1.5,4,6.4,44,147,STATION WAGON - SMALL,X
1.5,4,6.8,42,156,STATION WAGON - SMALL,X
1.5,4,7.3,39,168,STATION WAGON - SMALL,X
1.8,4,7.5,38,172,MID-SIZE,X
2.0,4,8.3,34,191,MID-SIZE,X
3.8,6,12.1,23,278,FULL-SIZE,X
5.0,8,14.2,20,327,FULL-SIZE,Z
3.8,6,12.3,23,283,SUBCOMPACT,Z
3.8,6,12.4,23,285,SUBCOMPACT,Z
3.3,6,11.3,25,260,SUV - SMALL,X
3.3,6,11.5,25,264,SUV - SMALL,X
3.3,6,12.5,23,287,SUV - SMALL,X
2.4,4,8.4,34,193,FULL-SIZE,X
2.0,4,10.4,27,239,SUV - SMALL,X
3.7,6,10.3,27,237,MID-SIZE,Z
3.7,6,10.7,26,246,SUBCOMPACT,Z
3.7,6,11.5,25,264,SUBCOMPACT,Z
5.6,8,12.4,23,285,MID-SIZE,Z
5.6,8,12.9,22,297,MID-SIZE,Z
3.5,6,7.5,38,172,MID-SIZE,Z
3.7,6,11.9,24,274,STATION WAGON - SMALL,Z
3.5,6,10.1,28,232,SUV - SMALL,Z
3.5,6,10.7,26,246,SUV - SMALL,Z
2.5,4,8.7,32,200,SUV - STANDARD,X
5.6,8,14.7,19,338,SUV - STANDARD,Z
3.0,6,11.6,24,267,MID-SIZE,Z
5.0,8,13.2,21,304,MID-SIZE,Z
3.0,6,12.5,23,288,FULL-SIZE,Z
5.0,8,13.6,21,313,MINICOMPACT,Z
5.0,8,13.4,21,308,MINICOMPACT,Z
2.4,4,12.9,22,206,SUV - SMALL,E
3.2,6,9.9,29,228,SUV - SMALL,X
2.4,4,13.7,21,219,SUV - SMALL,E
3.2,6,10.2,28,235,SUV - SMALL,X
3.2,6,10.9,26,251,SUV - SMALL,X
2.4,4,9.3,30,214,SUV - SMALL,X
2.4,4,9.7,29,223,SUV - SMALL,X
1.4,4,8.8,32,202,SUV - SMALL,X
2.4,4,12.2,23,195,SUV - SMALL,E
3.3,6,10.7,26,246,FULL-SIZE,X
1.8,4,7.6,37,175,MID-SIZE,X
2.0,4,8.8,32,202,COMPACT,X
3.8,6,11.3,25,260,FULL-SIZE,X
3.3,6,11.6,24,267,MINIVAN,X
3.3,6,11.4,25,262,MINIVAN,X
3.3,6,12.5,23,288,MINIVAN,X
2.4,4,10.4,27,239,SUV - SMALL,X
